category,question,answer
완속충전기 설치 지원 사업,"Q
완속충전기 설치지원 사업
완속충전시설 설치지원사업으로 얼마의 보조금을 지원받을 수 있나요?","A
[‘23년 완속충전시설 보조금 지원 단가]
- 30kW 이상 : 500만원(1기), 400만원(2기), 350만원(3기 이상)
- 11W 이상 : 160만원(1기), 140만원(2기~5기), 120만원(6기 이상)
- 7W 이상 ~ 11kW 미만 : 140만원(1기), 120만원(2~5기), 100만원(6기 이상)
-키오스크 충전기 :140만원(2기)
-전력분배형 충전기 :110만원/기  
-과금형콘센트 : 35만원/기                                                                  
※ 보조금은 지원 가능한 최대 금액을 말하며, 보조금 한도를 초과하여 발생한 충전기 설치 비용은 설치희망자가 부담함"
완속충전기 설치 지원 사업,"Q
완속충전기 설치지원 사업
신청 방법이 어떻게 되나요?","A
[‘23년 완속충전기 설치지원 사업 관련]
공동주택, 사업장, 대규모 주차장 등의 소유 및 운영 주체 중 공용 완속충전시설 설치희망자가 직접 신청서를 작성하고 접수를 해야합니다.
- 무공해차 통합누리집(www.ev.or.kr) 접속 -> ‘공용 완속충전시설 직접시청 버튼’ 클릭 -> 충전기 수량 등 확인 후 신청서 작성
※ 단, 상황에 따라 선택한 사업자가 아닌 다른 사업자가 배정될 수 있으며, 설치 후 5년 이내에 철거 시 보조금이 환수됩니다."
완속충전기 설치 지원 사업,"Q
완속충전기 설치지원 사업
완속충전기 설치지원 사업의 보조금으로 급속충전기 설치 가능한가요?","A
[‘23년 완속충전기 설치지원 사업 관련]
해당 사업의 취지에 맞게 완속충전기 설치지원사업에서는 완속충전기에 대한 보조금만 지급됩니다."
완속충전기 설치 지원 사업,"Q
완속충전기 설치지원 사업
완속충전기 하자보증기간이 있나요?","A
[‘23년 완속충전기 설치지원 사업 관련]
완속충전기의 하자보증기간은 5년이며, 하자보증기간이 끝난 이후의 사후관리는 소유자에게 책임이 있습니다."
완속충전기 설치 지원 사업,"Q
완속충전기 설치지원 사업
완속충전시설 의무 사용기간이 있나요?","A
[‘23년 완속충전기 설치지원 사업 관련]
충전시설 소유자 및 사업수행기관은 최소 5년간 해당 충전시설을 운영, 관리 하여야 하며,
충전시설 소유자가 5년 이내에 충전시설을 철거하는 경우 보조금을 환수 조치할 수 있음"
충전소 이용,"Q
충전소 이용
SM3 ZE의 경우 커넥터 분리가 힘들어요.","A
SM3 ZE의 경우 차량키에 커넥터 분리 버튼(플러그 모양)을
 누르신 후 분리하시기 바랍니다."
충전소 이용,"Q
충전소 이용
아이핀(i-PIN) 가입이 잘 안돼요.","A
아이핀(i-PIN)은 한국인터넷진흥원에서
 발급업무를 담당하고 있으므로,
 1557-1006으로 문의하여 주시기 바랍니다."
충전소 이용,"Q
충전소 이용
아이핀(i-PIN)이 무엇인가요?","A
아이핀(i-PIN, Internet Personal Identification number)란,
 인터넷 상에서 주민번호를 대신하여
 아이디와 패스워드를 이용하여 본인확인을 하는 수단입니다.
   아이핀 아이디와 패스워드를 이용하면
 웹사이트에 더 이상 주민번호를 이용하지 않아도
 회원가입 및 기타서비스 이용이 가능합니다"
충전소 이용,"Q
충전소 이용
충전카드 발급 소요기간이 얼마나 되는지요.","A
회원카드 신청을 하시면 신청완료 메시지와 발급완료 메시지를 받으시게 됩니다.
 발급된 회원카드는 우체국 등기로 발송되며, 발급완료 문자 메시지를 받으신 후 수령까지는 영업일 기준 4일~7일, 
 도서산간지역은 영업일 기준 7일 이상 소요됩니다."
충전소 이용,"Q
충전소 이용
회원가입 하려고 하는데 회원승인 해주세요.","A
회원승인의 경우 업무시간 내(월~금 09:00~18:00)에 가능하오며,
 최대한 신속히 처리하도록 하겠습니다."
충전소 이용,"Q
충전소 이용
전기자동차 충전카드 발급절차가 어떻게 되나요?","A
현재 환경부에서는 국내 보급성능 평가시험을
 완료한 전기자동차에 대하여 충전카드를 발급하고 있습니다.
   해당 전기자동차를 구매하신분께서는
 충전카드를 발급 신청해 주시기 바랍니다.
   자세한 발급절차는 [참여마당-자료실]의
 “홈페이지 회원가입 및 회원카드 발급방법 안내”
 를 참고하시기 바랍니다."
충전소 이용,"Q
충전소 이용
전기자동차 렌트카 또는 카셰어링을 이용할 경우 충전카드를 발급받아야 하나요?","A
전기자동차 렌트카 또는 카셰어링을 이용하실 경우
 해당차량 내 충전카드가 비치되어 있어
 별도 발급을 받으시지 않아도 됩니다.
   만약 충전카드가 비치되어 있지 않다면,
 렌트카 또는 카셰어링 회사 고객센터에 문의하여 주시기 바랍니다."
수소충전소 인프라 사업,"Q
수소충전소 인프라 사업
[민간보조사업] 수소충전소 민간보조 사업 지원기준 및 절차는?","A
• 한국자동차환경협회 업무대행업무로 자세한 사항 아래 참조(연료구입비 지원사업 포함)
   - (관련사이트) 한국자동차환경협회(https://www.aea.or.kr/biz/hcInfra.do)
  - (참고자료) 2023년 수소차 보급 및 충전소 설치사업 보조금 업무처리지침(환경부)
  - (기타문의) 070-4027-0584"
수소충전소 인프라 사업,"Q
수소충전소 인프라 사업
[주요설비] 수소충전소 주요설비 구성은?","A
• 튜브트레일러 기준
 1. (수소공급) 튜브트레일러: 수소충전소 내 수소를 공급하는 이동식 저장설비(200bar, 300kg)
2. (수소압축) 압축기: 저장설비의 수소를 고압으로 승압하여 저장용기에 저장(→ 1,000bar)
3. (수소저장) 저장용기: 압축설비에서 고압으로 전환된 수소를 저장(저압, 중압, 고압용기로 구성)
4. (냉각) 냉각기(칠러): 수소 온도 상승에 따른 수소차의 저장탱크 보호를 위해 수소온도를 -40°c까지 하강(압축과 충전시 온도 상승 제어)
5, (충전) 디스펜서: 수소를 수소차량에 충전하는 기기"
수소충전소 인프라 사업,"Q
수소충전소 인프라 사업
[관계정부부처] 수소충전 구축에 따른 정부기관 역할 분담은?","A
• 환경부는 수소충전소 보급 총괄기관이며, 수소 생산·유통과 관련하여 산자부, 국토부 등과 협업하고 있음
  - (환경부) 수소충전소 구축 총괄, 수소충전소 배치계획 수립, 수소충전소 운영비 지원, 수소충전소 인허가 특례 도입 등
 - (산자부)  수소 생산·유통 총괄, 수소충전소 부품 국산화(R&D), 수소연료 생산시설 구축, 수소충전소 안전관리(한국가스안전공사) 등
 - (국토부) 고속도로(한국도로공사) 및 교통물류거점(화물차休) 수소충전소 구축"
