category,question,answer
KIA PBV,PBV란 무엇인가요?,"PBV (Platform Beyond Vehicle) 는 '차량 그 이상의 플랫폼' 이라는 의미 그대로, 고객의 니즈를 기반으로 새로운 비즈니스와 라이프스타일을 제안함과 동시에 혁신성을 기반으로 최적의 모빌리티 경험을 제공하는 기아의 신규 비즈니스 모델입니다. 기아가 기존에 보유하고 있는 상품 및 제조역량에 소프트웨어와 미래기술을 접목함으로써 고객에게 가장 적합한 차량과 경험을 선사할 수 있으며, 고객사, 컨버전 파트너 및 소프트웨어 제공업체 등 다양한 이해관계자가 참여함으로써 전통 자동차 제조업의 가치와 역량을 뛰어넘는 맞춤형 생태계를 구축하고 있습니다. PBV는 기존 비즈니스에서의 고객 불편과 환경에 유해한 차량 개조 프로세스 문제를 해결할 수 있으며, 전동화 전환을 주도하고 고객 비즈니스 생태계 전반을 바꾸고자 하는 기아의 방향성을 함축하고 있습니다. "
KIA PBV,PBV의 생산은 어떻게 이루어지나요?,"다양한 PBV 기본 모델과 컨버전 모델을 제공하기 위해 유연한 생산체계가 준비되고 있습니다. Autoland 화성에 구축 중인 PBV 전용공장 (화성 EVO Plant) 은 컨베이어 생산라인과 셀 유연 생산라인을 결합하여 다품종 생산에 최적화된 체계를 구축하고 있습니다. 이와 함께 공장 인근에 구축 예정인 PBV 컨버전 센터는 여러 파트너들과 유기적 협업을 통해 PBV 컨버전 모델을 효율적으로 개발하고 품질을 확보하고자 하며, 또한 글로벌 컨버전 파트너들과의 협력 관계 또한 지속적으로 강화할 예정입니다."
KIA PBV,PBV는 어떤 고객에 적합한가요?,"PBV는 다양한 모델, 라인업 및 variation 을 기반으로 각 고객에 특화된 맞춤형 차량을 제공할 수 있습니다. 통상적으로 패신저 모델의 경우 택시 및 차량 호출 업종에 종사하는 고객에게, 카고 모델은 딜리버리 및 시설관리, 전기 · 가스 공급업 등 유틸리티 고객에게 적합합니다. 물론 비즈니스뿐 아니라 평소 일상에서 가족과 함께 차량을 활용한 다양한 활동을 영위하고 싶은 분들께도, 기존의 불편함을 최소화하고 탑승과 이동의 편의를 추구하는 교통약자에게도 자신 있게 추천 드립니다.  기아가 제공하는 다양한 상품 및 서비스를 통해 비즈니스 및 라이프스타일에 가장 적합한 차량을 찾아보시기 바랍니다."
KIA PBV,PBV와 상용차/LCV의 차이는 무엇인가요?,"PBV는 총소유비용 (TCO: Total Cost of Ownership) 이라는 제한적인 가치에 집중해 온 기존 상용차/LCV와 하드웨어 및 소프트웨어 측면에서 차별화됩니다. 먼저 하드웨어 관점에서는 전용 플랫폼을 통해 고객의 목적에 맞게 유연한 공간 구성이 가능한 혁신적인 차량을 전용 EV  라인업으로 공급할 것입니다. 소프트웨어 측면에서는 SDV (Software Defined Vehicle) 기반의 OTA (Over-The-Air) 업데이트를 통해 차량 관제, 차량 내 디스플레이 등 고객 비즈니스에 최적화된 소프트웨어 솔루션을 실시간으로 고객에게 제공할 것입니다. 이를 통해 고객은 여러 차량을 손쉽게 제어하고 업데이트하며, 서로 연결하는 등 마치 스마트폰처럼 자유롭게 차량을 활용할 수 있게 됩니다. 이를 통해 고객은 비즈니스 생산성과 효율성을 최적화함으로써 차량이 단순히 비즈니스의 보조 수단이 아닌 비즈니스 플랫폼으로 활용되는 경험을 얻게 될 것으로 기대합니다."
KIA PBV,출시 예정일은 어떻게 되나요?,"최초 전용 PBV인 중형 The Kia Concept PV5가 2025년 하반기, 대형급에 해당하는 The Kia Concept PV7가 2027년 출시 예정입니다. 이후 다양한 모델이 순차적으로 개발 및 출시될 계획입니다."
KIA PBV,Kia PBV 플랫폼만의 특성은 무엇인가요?,"PBV 전용 플랫폼은 중량물 적재와 주행거리가 많은 B2B 사업자 특성을 고려하여 고강성 고내구성을 확보하였습니다. 또한 사업자의 화물적재 및 승하차가 편리하도록 저상형으로 개발된 비즈니스 친화적 신규 플랫폼입니다. PBV 전용 플랫폼은 E-GMP까지 이어져온 현대차그룹의 안전 헤리티지를 계승하였습니다. 기존 시장에서 통용되던 ICE 플랫폼 기반의 전동화 플랫폼 방식과 달리, 기아 PBV는 전용 플랫폼을 적용함으로써 성능과 공간 활용성이 개선된 진보된 고객 경험을 제공할 것입니다."
KIA PBV,충전 인프라는 준비되고 있나요?,"PBV는 100% 전용 전기차 플랫폼을 기반으로 하므로 기존 승용 EV와 동일한 충전 인프라를 사용하실 수 있습니다. 더하여 현재 국내외 급속/초급속 충전 관련 투자가 지속적으로 이루어지고 있으며, EV 보급 확대에 발맞춰 충전 인프라도 고도화되고 있으므로 충전 편의성은 계속 증대될 것입니다."
KIA PBV,기아가 생각하는 PBV 시장의 규모와 판매 목표는 어느 정도인가요?,"기아 PBV는 초기 진입 시 기존 LCV 시장에서의 경쟁이 불가피할 것입니다. 현재도 지속 성장중인 LCV 시장은 ’30년 350만대 수준으로 성장할 것으로 예상되며, 이 중 유럽, 북미, 한국 등 선진시장 중심으로 150만 대 규모의 전동화 수요가 발생할 것으로 추정됩니다. 기아는 순차적 PBV 라인업 확대를 통해 ‘30년 기준 30만대 판매를 목표로 비즈니스를 준비하고 있습니다. "
KIA PBV,최근 전기차 시장의 성장속도가 둔화되는 상황에서 기아 PBV의 대응 전략은 무엇인가요?,"최근 EV 성장속도의 둔화는 배터리 가격, 보조금 정책, 충전 이슈 등 복합적 요인이 작용하고 있습니다. 그러나 선진시장 중심으로 탄소배출, 도심진입 제한 등 ESG 관점의 친환경 규제가 지속 강화되는 추세이며, 제반 인프라 확충 노력이 지속되고 있습니다. 제조사에서 경쟁력 있는 EV 신차 개발 및 출시가 지속되고 있어 다소 시기가 지연되더라도, 기아는 ‘EV 대중화 시대’로의 전환은 불가피하다고 생각하고 있습니다. 이에, 기아는 시장 내 전동화 니즈를 보유한 다양한 PBV 가망 고객군을 적극 공략하여 시장 진입 기반을 확보해 나갈 예정입니다."
KIA PBV,PBV는 ESG 경영의 일환으로써 어떠한 역할을 하게 되나요?,"PBV는 기아 경영전략의 핵심인 Plan S의 한 축이자 현대자동차그룹이 '지속가능한 모빌리티 솔루션 프로바이더 (Sustainable Mobility Solutions Provider)' 로 변모하기 위한 주요 사업의 일환으로, 상용차 시장의 전동화를 선도하며 지속가능한 미래에 기여하는 것을 목표로 하고 있습니다. 특히 기존의 차량 개조 방식을 혁신하여 친환경적인 제조 및 컨버전 생태계를 구축할 예정입니다. 기존에는 차량을 특정 비즈니스 목적에 맞게 변형하기 위해 완성차량 내외부의 구성품을 뜯어낸 후 개조하는 방식이 주를 이뤘다면, PBV는 자원의 낭비 및 불필요한 물류 비용을 최소화할 수 있도록 컨버전 프로세스의 효율화 및 물류 간소화 등의 혁신을 계획하고 있습니다."
